r ($\AA$),C_CO₂ - BF₄⁻,C_CO₂ - Solvent,C_CO₂ - TBA⁺,O_CO₂ - BF₄⁻,O_CO₂ - Solvent,O_CO₂ - TBA⁺
0.25,0,0,0,0,0,0
0.75,0,0,0,0,0,0
1.25,0,0,0,0,0,0
1.75,0,0,0,0,0,0
2.25,0,0,0,0,0,0
2.75,0,0,0,0,0.051126763,0
3.25,0.066780979,0.1022702999779308,0,0.2003429383896032,0.4925256237743146,0
3.75,1.0036904605711876,0.7325984466492934,0,0.7527678454283908,0.952836811,0.025092262
4.25,1.0552625740982324,1.3906387925329795,0.078167598,1.289765368342285,1.2454703960961853,0.4494636889677656
4.75,1.3770188680456374,1.607356569609634,0.4694382504701035,1.0014682676695543,1.3411329217874774,0.9545244426225442
5.25,0.7686874071141877,1.4768559326524011,1.2555227649531735,0.8199332342551336,1.2799743453318528,0.9608592588927346
5.75,0.5981691762497301,1.1149547911049398,1.6236020498206964,0.7797562476112557,1.087040229546619,1.121567205468244
6.25,0.5605900131058047,0.8790326964338037,1.3743497095497166,0.6510077571551289,0.9428245676640304,1.1935142214510703
6.75,0.6977208366219265,0.7879446315798104,1.038828801192646,0.8217600964658244,0.8909562835644573,1.2093827834780058
7.25,1.0349464313322387,0.831438969,1.061828156821388,0.987903412,0.9039428224484533,1.196236784267133
7.75,1.1527823445201126,0.9244664632633592,1.0586776633347972,1.146900801946031,0.9573134781723276,1.1469008019460312
8.25,1.297610831062812,1.0211628763338343,1.162659305,1.224944624523293,1.0014293051429664,1.0225173348774943
8.75,1.2366471256852622,1.0649052291970604,0.969014539,1.1259026069671771,1.038432015674928,1.010543733302508
9.25,1.1148587077863497,1.0800169153666428,0.9166616041798876,1.1024713888109448,1.0390247207635923,0.949694455
9.75,1.025769891386556,1.051283174261347,0.9886043156116808,0.9848877580341936,1.0255716749824249,1.096384485
10.25,0.8474458631008271,1.019445986426477,1.0895732525582065,0.9180663516925636,1.0182161330197088,1.0391300464212532
10.75,0.935559634,0.9886125329463876,1.1679208499198732,1.0670271639320312,0.9969519129368408,1.0823140860514018
11.25,1.077596173550048,0.9696610779136352,1.1557637716313984,1.038512374509373,0.9879958995588388,1.077596173550048
11.75,1.0697450439901888,0.9636236058144492,0.9827322892158676,0.959699501,0.979709997,1.1055738253678509
12.25,0.9795038053858534,0.9809030965364024,1.120778392701121,1.109005510424845,0.9831276106731766,1.012467875759414
12.75,1.1215507806720877,0.9920652796890682,0.8998488821671402,1.0585178879598958,0.991883116,0.9802701590757976
13.25,1.042537616271038,1.001572155828042,0.9781337480844106,1.016373544820221,0.9998853878517248,0.9881968524885708
13.75,1.0465983383479176,1.0119395580004518,1.0166955286808346,1.0447294127437263,1.0040366725884375,1.0260401567018005
14.25,0.9953298055241662,1.0214874572897217,1.051012591847197,1.064933288427954,1.010271353,1.044052243556818
14.75,1.0556817033104655,1.006351592,1.049185200520863,0.96635479,1.0062525977998582,1.0394404463364555
15.25,1.0179852279691473,0.9947922397191268,1.0483728467144953,1.0833186082716448,1.0045162777176375,1.0453340848399608
15.75,1.0199072933402438,0.996323803,1.0968276757988655,1.0170583902862185,0.9938601797034596,1.012785035705183
16.25,1.0517846216433666,1.0017404213250682,0.9581142354919222,1.0236835057979334,0.9977030365178876,1.0544609183905511
16.75,1.027717027580998,0.9866467299335044,1.080614228,1.0466088847056485,0.9982481294325288,1.0831331418133063
17.25,1.0592574177414282,0.9971088872911524,0.9761318356316752,1.055694892793868,0.9991989019270548,1.0153196100548445
17.75,1.085663381550923,1.0037152364972175,1.0318288337054224,1.0598676607082882,0.9965800226161078,0.9813589451002666
18.25,1.103381507067749,1.0060575997776713,0.944239944,1.0556390380119338,1.0017410743214517,0.899680306
18.75,0.9729540757629896,1.003540290470561,0.9407903046633864,1.0272304394935692,1.007645,0.9789847828441648
19.25,1.0508505958840615,1.0012169542227911,0.9974498396503896,1.0622936150769902,0.999233498,1.0498970109513164
19.75,0.9548353288811352,1.0049764782199386,1.039991420830686,0.943964338,1.001974014187675,1.0119080288047708